ACC_X,ACC_Y,ACC_Z
9770,11750,3780
10286,12714,4046
10286,12714,4046
10300,12606,3756
10354,12500,3866
10354,12500,3866
11408,13278,3678
11408,13278,3678
12656,14184,6010
12656,14184,6010
12656,14184,6010
11608,12736,3520
11272,11760,1458
11272,11760,1458
11272,11760,1458
11640,10938,1248
11640,10938,1248
11630,9954,3344
12450,10554,4148
12450,10554,4148
12450,10554,4148
13270,12260,3470
13270,12260,3470
13270,12260,3470
13342,12022,1920
13342,12022,1920
12204,11358,870
11914,11684,294
11914,11684,294
11914,11684,294
11840,11650,330
11840,11650,330
11830,10804,-314
11830,10804,-314
11830,10804,-314
11618,10730,306
11142,10186,58
11142,10186,58
11646,10838,496
11646,10838,496
11878,8798,1528
11878,8798,1528
12520,9406,1952
12520,9406,1952
12520,9406,1952
11916,8526,1842
11916,8526,1842
11916,8526,1842
11042,6818,1436
10466,9960,-36
10466,9960,-36
9576,5308,-1996
9576,5308,-1996
9576,5308,-1996
7480,9548,-5076
7480,9548,-5076
3270,6266,-13394
3270,6266,-13394
2082,8232,-8502
2082,8232,-8502
-2094,10380,-6322
-2094,10380,-6322
-2094,10380,-6322
-2492,6696,4564
-2492,6696,4564
-3326,5616,14094
-3326,5616,14094
-3326,5616,14094
1200,12288,32767
1200,12288,32767
-9152,5940,32767
-9152,5940,32767
-12614,188,32767
-12614,188,32767
-5344,13630,28218
-5344,13630,28218
-5344,13630,28218
464,-5694,17560
464,-5694,17560
464,-5694,17560
-4742,-1924,19784
-4742,-1924,19784
-4908,1390,16776
-4908,1390,16776
-4622,3540,16616
-4622,3540,16616
-4622,3540,16616
-4438,2130,18454
-4438,2130,18454
-4438,2130,18454
-2626,990,14482
-3596,888,14500
-3596,888,14500
-3596,888,14500
-3226,1560,15256
-3226,1560,15256
-3618,418,14670
-3618,418,14670
-3618,418,14670
-2706,648,15440
-4062,698,16300
-4062,698,16300
-3462,-284,15532
-3462,-284,15532
-2400,310,14878
-2400,310,14878
-2400,310,14878
-3484,728,15970
-2594,108,13920
-2594,108,13920
-2594,108,13920
-2456,128,13318
-2456,128,13318
-2344,266,16304
-2344,266,16304
-2344,266,16304
-4130,1942,16426
-4130,1942,16426
-2818,-468,12600
-2818,-468,12600
-2818,-468,12600
-2818,-468,12600
-1132,-490,19442
-1132,-490,19442
-1132,-490,19442
-1132,-490,19442
-3060,3376,12924
-3060,3376,12924
-1996,1212,19340
-1996,1212,19340
-1996,1212,19340
-4170,354,14318
-4170,354,14318
-2492,192,15364
-2492,192,15364
-1644,-276,16816
-1644,-276,16816
-1644,-276,16816
-2978,588,12684
-2978,588,12684
-2978,588,12684
-2406,1100,17394
-2518,1146,17686
-4522,1636,16926
-4522,1636,16926
-4522,1636,16926
-2890,1424,20182
-2890,1424,20182
-4592,3380,20528
-4592,3380,20528
-4874,1634,20396
-4874,1634,20396
-4360,4080,15968
-4360,4080,15968
-4360,4080,15968
-3930,2408,12446
-3930,2408,12446
-1320,992,17840
-1320,992,17840
-632,4112,13840
-632,4112,13840
1904,5022,14282
1904,5022,14282
1904,5022,14282
3776,2128,14862
3776,2128,14862
3776,2128,14862
5956,4012,14990
5956,4012,14990
6718,3864,11862
6718,3864,11862
7706,2940,10556
7706,2940,10556
7706,2940,10556
9220,2478,8066
10132,3064,7162
10132,3064,7162
10132,3064,7162
11208,5822,5830
11208,5822,5830
11920,7760,8450
11920,7760,8450
11920,7760,8450
12550,9292,9410
12550,9292,9410
12684,9506,10978
12684,9506,10978
13650,12678,9086
13650,12678,9086
13750,10954,9002
13750,10954,9002
13750,10954,9002
13682,11678,9126
13682,11678,9126
13236,13584,10808
13236,13584,10808
10858,11354,9008
10858,11354,9008
10858,11354,9008
9060,9508,7462
9060,9508,7462
7918,9364,7040
