ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
10450,3838,12220,92,-13,-41,-40.63000107,-14.39999962,34.95999908
10450,3838,12220,92,-13,-41,-40.63000107,-14.39999962,34.95999908
10450,3838,12220,92,-13,-41,-40.63000107,-14.39999962,34.95999908
10450,3838,12220,92,-13,-41,-40.63000107,-14.39999962,34.95999908
9634,3672,11198,44,-3,54,-40.77000046,-14.47999954,35.15000153
9634,3672,11198,44,-3,54,-40.77000046,-14.47999954,35.15000153
9436,3912,11580,169,105,-56,-40.50999832,-14.69999981,35.27999878
9436,3912,11580,169,105,-56,-40.50999832,-14.69999981,35.27999878
8580,5042,10166,223,176,203,-40.20999908,-15.40999985,35.81000137
8580,5042,10166,223,176,203,-40.20999908,-15.40999985,35.81000137
6488,1416,10406,602,242,56,-39.38999939,-15.52999973,37.06999969
9004,6102,11420,-351,362,339,-38.58000183,-16.37999916,37.79999924
9004,6102,11420,-351,362,339,-38.58000183,-16.37999916,37.79999924
9004,6102,11420,-351,362,339,-38.58000183,-16.37999916,37.79999924
8220,1574,10126,-869,262,359,-37.36999893,-13.61999989,37.36999893
8220,1574,10126,-869,262,359,-37.36999893,-13.61999989,37.36999893
8220,1574,10126,-869,262,359,-37.36999893,-13.61999989,37.36999893
10074,2710,10934,-531,263,398,-36.90000153,-11.39000034,36.91999817
10074,2710,10934,-531,263,398,-36.90000153,-11.39000034,36.91999817
10074,2710,10934,-531,263,398,-36.90000153,-11.39000034,36.91999817
7472,1688,8590,-797,311,390,-36.16999817,-8.720000267,36.70000076
7472,1688,8590,-797,311,390,-36.16999817,-8.720000267,36.70000076
9760,806,12536,-384,429,-23,-34.79000092,-6.929999828,36.02000046
9760,806,12536,-384,429,-23,-34.79000092,-6.929999828,36.02000046
4168,5272,4716,-619,1074,1692,-33.43000031,-5.340000153,37.41999817
4168,5272,4716,-619,1074,1692,-33.43000031,-5.340000153,37.41999817
2882,1258,7556,-915,2052,685,-27.75,-1.899999976,39.93000031
2882,1258,7556,-915,2052,685,-27.75,-1.899999976,39.93000031
5274,7980,10184,-996,1566,1571,-23.06999969,0.449999988,41.72000122
5274,7980,10184,-996,1566,1571,-23.06999969,0.449999988,41.72000122
5274,7980,10184,-996,1566,1571,-23.06999969,0.449999988,41.72000122
2692,2346,7784,-437,1458,989,-18.47999954,4.039999962,44.50999832
2692,2346,7784,-437,1458,989,-11.88000011,5.809999943,47.49000168
2692,2346,7784,-437,1458,989,-11.88000011,5.809999943,47.49000168
74,-4174,14892,-371,2154,892,-11.88000011,5.809999943,47.49000168
17220,15718,25548,-1959,1501,320,-7.289999962,7.139999866,46.56000137
17220,15718,25548,-1959,1501,320,-7.289999962,7.139999866,46.56000137
17220,15718,25548,-1959,1501,320,-7.289999962,7.139999866,46.56000137
-2628,-12162,6756,-205,1684,1403,-2.690000057,13.81000042,51.65000153
-2628,-12162,6756,-205,1684,1403,-2.690000057,13.81000042,51.65000153
-8630,10722,16194,-2242,780,1425,4.639999866,13.15999985,54.34000015
-8630,10722,16194,-2242,780,1425,4.639999866,13.15999985,54.34000015
-8630,10722,16194,-2242,780,1425,4.639999866,13.15999985,54.34000015
-1696,-26686,32767,-1826,1130,-2199,10.38000011,21.44000053,56.59999847
-1696,-26686,32767,-1826,1130,-2199,10.38000011,21.44000053,56.59999847
-1696,-26686,32767,-1826,1130,-2199,10.38000011,21.44000053,56.59999847
7524,-14302,-15744,-2600,-2152,-1805,3.039999962,40.52000046,51.81000137
-27136,-12064,32767,-3804,-278,3668,3.079999924,37.34999847,55.95999908
-27136,-12064,32767,-3804,-278,3668,3.079999924,37.34999847,55.95999908
-27136,-12064,32767,-3804,-278,3668,3.079999924,37.34999847,55.95999908
11094,32767,32767,10121,-6,-385,-0.879999995,30.79000092,62.52000046
11094,32767,32767,10121,-6,-385,-0.879999995,30.79000092,62.52000046
-16756,8646,-31772,-5050,29,3032,5.050000191,43.61000061,65.54000092
-16756,8646,-31772,-5050,29,3032,5.050000191,43.61000061,65.54000092
-16756,8646,-31772,-5050,29,3032,5.050000191,43.61000061,65.54000092
7990,3146,32767,4745,2511,2607,13.48999977,32.49000168,74.29000092
7990,3146,32767,4745,2511,2607,13.48999977,32.49000168,74.29000092
7990,3146,32767,4745,2511,2607,13.48999977,32.49000168,74.29000092
-23676,-17568,-13784,-3328,2078,3639,28.71999931,33.25,91.47000122
3164,-8086,13448,-728,1596,-1392,35.74000168,36.93999863,93.63999939
3164,-8086,13448,-728,1596,-1392,35.74000168,36.93999863,93.63999939
